DscConjUndConsumidoras,DEC,FEC,Custo_Violacao_Continuidade_R$,Custo_Violacao_Tensao_R$,Custo_Compensacao_Geral_R$,Total_Compensacao_R$
SAUIPE,2.484375,0.8112499999999999,1105136.15,0.0,0.0,1105136.15
MASSANGANO II,1.420625,0.609375,1082214.31,0.0,0.0,1082214.31
AGUAS CLARAS,0.30027397260273975,0.17273972602739726,1079651.31,0.0,0.0,1079651.31
ALAGOINHAS,0.6459999999999999,0.2256,1076481.07,0.0,0.0,1076481.07
ALCOBACA,1.6272602739726028,0.6524657534246576,1073651.91,0.0,0.0,1073651.91
JACOBINA,0.8303999999999999,0.35960000000000003,1070452.32,0.0,0.0,1070452.32
"FEIRA DE SANTANA  II 34,5kV",1.0578082191780822,0.5889041095890412,1036024.44,0.0,0.0,1036024.44
KM 43,0.7554794520547945,0.3680821917808219,1034346.68,0.0,0.0,1034346.68
PRES JANIO QUADROS,1.344931506849315,0.536986301369863,1021023.34,0.0,0.0,1021023.34
TEIXEIRA DE FREITAS,0.7492,0.38079999999999997,1015599.3200000001,0.0,0.0,1015599.3200000001
ENTRE RIOS,1.6943835616438356,0.44547945205479456,995926.2,0.0,0.0,995926.2
ESPLANADA,1.0915068493150686,0.43,982324.47,0.0,0.0,982324.47
DISTRITO INDUSTRIAL DE JUAZEIRO,0.5113698630136986,0.2502739726027397,962347.33,0.0,0.0,962347.33
IRECE,0.5291780821917809,0.23904109589041095,957915.87,0.0,0.0,957915.87
CONCEICAO DO COITE,0.8465753424657534,0.4072602739726027,949890.62,0.0,0.0,949890.62
AREMBEPE,0.9404166666666667,0.5177083333333333,940916.71,0.0,0.0,940916.71
SENHOR DO BONFIM,0.5756,0.2192,938938.3099999999,0.0,0.0,938938.3099999999
BARREIRAS NORTE,0.45630136986301373,0.31575342465753425,920558.64,0.0,0.0,920558.64
INHAMBUPE,1.599041095890411,0.5691780821917808,908438.27,0.0,0.0,908438.27
JAGUAQUARA,1.0401369863013699,0.43082191780821916,883381.28,0.0,0.0,883381.28
RIO DO ANTONIO,0.9521917808219179,0.38780821917808217,876649.75,0.0,0.0,876649.75
ITIUBA,1.0158333333333334,0.3252083333333333,851168.39,0.0,0.0,851168.39
ITAPEBI,1.8573972602739726,0.5165753424657534,849418.27,0.0,0.0,849418.27
SAO FELIPE,1.977945205479452,0.5965753424657534,838638.53,0.0,0.0,838638.53
CONDE,2.0735616438356166,0.6006849315068493,836406.0700000001,0.0,0.0,836406.0700000001
FONTE NOVA,0.24849315068493152,0.17547945205479454,820811.25,0.0,0.0,820811.25
POCOES,0.6927397260273973,0.2720547945205479,818864.93,0.0,0.0,818864.93
BARREIRAS,0.7315999999999999,0.3552,817246.6,0.0,0.0,817246.6
TOMBA,0.29458333333333336,0.21958333333333332,812793.3,0.0,0.0,812793.3
NAZARE,1.4873972602739727,0.6235616438356164,810928.67,0.0,0.0,810928.67
AMARGOSA,1.154794520547945,0.4191780821917808,794169.84,0.0,0.0,794169.84
JUAZEIRO DA BAHIA,0.3383333333333333,0.2577083333333334,781561.29,0.0,0.0,781561.29
SENTO SE,1.136849315068493,0.2947945205479452,774454.49,0.0,0.0,774454.49
ITABEROE,2.3572,0.5972,767675.0,0.0,0.0,767675.0
ITAMBE,1.2325,0.5447916666666667,755622.9199999999,0.0,0.0,755622.9199999999
SERRA,1.2831506849315069,0.5750684931506849,750712.33,0.0,0.0,750712.33
FORMOSO,1.3008000000000002,0.5404,745241.86,0.0,0.0,745241.86
CASTRO ALVES,1.388904109589041,0.51,742870.15,0.0,0.0,742870.15
CENTRAL AEREO,0.3427397260273973,0.283972602739726,732295.41,0.0,0.0,732295.41
MUNDO NOVO,1.0716438356164384,0.3612328767123288,729061.9,0.0,0.0,729061.9
OLINDINA - CHESF,1.1432876712328766,0.5716438356164383,726192.79,0.0,0.0,726192.79
MASSANGANO II,0.7487999999999999,0.2544,725811.8300000001,0.0,0.0,725811.8300000001
RIACHAO DAS NEVES,1.2845205479452053,0.7176712328767123,722784.99,0.0,0.0,722784.99
OLIVEIRA DOS BREJINHOS,1.1904109589041096,0.5298630136986301,718129.65,0.0,0.0,718129.65
JEQUIE  I,0.40123287671232877,0.2608219178082192,717873.72,0.0,0.0,717873.72
AMELIA RODRIGUES,1.3516666666666666,0.6775000000000001,700065.0,0.0,0.0,700065.0
CORRENTINA II,1.625890410958904,0.5673972602739726,698278.55,0.0,0.0,698278.55
BOQUIRA,0.9036986301369863,0.42534246575342466,694912.75,0.0,0.0,694912.75
TAQUIPE,0.9767123287671232,0.37452054794520545,694688.88,0.0,0.0,694688.88
GUANAMBI,0.6675,0.31479166666666664,694411.25,0.0,0.0,694411.25
CAMACARI  III,0.4491666666666667,0.3489583333333333,689410.79,0.0,0.0,689410.79
BARRA DA ESTIVA,0.9610416666666667,0.3564583333333333,683501.31,0.0,0.0,683501.31
VALENTE,0.8723287671232877,0.33493150684931505,676930.8,0.0,0.0,676930.8
CENTRAL SUBTERRANEO,0.5635616438356165,0.20452054794520547,676681.98,0.0,0.0,676681.98
TEOFILANDIA,0.6946575342465754,0.2821917808219178,656488.31,0.0,0.0,656488.31
GUANAMBI,0.7572,0.2384,653074.26,0.0,0.0,653074.26
JEREMOABO,0.9544,0.2816,652978.27,0.0,0.0,652978.27
SUBAE,0.7242465753424657,0.3641095890410959,652218.3099999999,0.0,0.0,652218.3099999999
BARRA,1.0746575342465754,0.45452054794520547,638606.9,0.0,0.0,638606.9
LIVRAMENTO DE BRUMADO,0.8391780821917808,0.357945205479452,632042.54,0.0,0.0,632042.54
RIO CORRENTE,1.3793750000000002,0.5970833333333333,619475.68,0.0,0.0,619475.68
JEQUIE  II,0.44780821917808217,0.24205479452054796,615843.4400000001,0.0,0.0,615843.4400000001
SANTO ANTONIO DE JESUS,0.5228,0.24480000000000002,614833.71,0.0,0.0,614833.71
SERRA DO RAMALHO,1.2582191780821919,0.413972602739726,613957.28,0.0,0.0,613957.28
CAJAZEIRAS  I,0.27506849315068493,0.17547945205479454,611252.7,0.0,0.0,611252.7
ANGELICA,0.35800000000000004,0.1972,608518.53,0.0,0.0,608518.53
DOM JOAO,1.0741095890410959,0.3915068493150685,594012.11,0.0,0.0,594012.11
PARATINGA,0.8865753424657534,0.5163013698630137,589817.34,0.0,0.0,589817.34
BERIBEIRA,0.9291666666666667,0.491875,581025.6,0.0,0.0,581025.6
MURITIBA,0.9973972602739727,0.3798630136986301,574729.62,0.0,0.0,574729.62
MUTUIPE,1.4396,0.498,573198.64,0.0,0.0,573198.64
MOXOTO - CHESF,0.797945205479452,0.44219178082191785,572702.45,0.0,0.0,572702.45
XIQUE-XIQUE,1.056027397260274,0.31589041095890413,571137.51,0.0,0.0,571137.51
"ITABUNA 13,8kV",0.45640000000000003,0.21960000000000002,561666.08,0.0,0.0,561666.08
PERIPERI,0.30561643835616437,0.1864383561643836,559763.9400000001,0.0,0.0,559763.9400000001
MILAGRES,0.9786301369863013,0.30726027397260275,550841.54,0.0,0.0,550841.54
SERRINHA,0.8139583333333333,0.39479166666666665,547150.94,0.0,0.0,547150.94
JEREMOABO,1.0125,0.5525,542353.0,0.0,0.0,542353.0
IACU,0.6864383561643835,0.2632876712328767,541773.19,0.0,0.0,541773.19
IBIPEBA,0.7541095890410958,0.2684931506849315,534605.88,0.0,0.0,534605.88
PEDRINHAS,1.0897260273972602,0.34671232876712327,532844.98,0.0,0.0,532844.98
LOBATO,0.36246575342465753,0.17904109589041095,532398.03,0.0,0.0,532398.03
MULUNGU - CHESF,0.8087671232876712,0.44890410958904114,510758.89,0.0,0.0,510758.89
SENHOR DO BONFIM,0.5397916666666667,0.22729166666666667,507532.24,0.0,0.0,507532.24
IRARA,1.0753424657534247,0.45863013698630145,502763.06,0.0,0.0,502763.06
VITORIA DA CONQUISTA,0.2966666666666667,0.20520833333333333,498885.36,0.0,0.0,498885.36
VITORIA DA CONQUISTA,0.2884,0.1148,480715.44,0.0,0.0,480715.44
EUCLIDES DA CUNHA,0.888125,0.3675,466283.54,0.0,0.0,466283.54
LICINIO DE ALMEIDA,1.0587671232876712,0.3113698630136986,458941.61,0.0,0.0,458941.61
PRESIDENTE TANCREDO NEVES,1.9024,0.4288,456970.61,0.0,0.0,456970.61
CAMACARI III,0.44520000000000004,0.1984,455962.18,0.0,0.0,455962.18
SOBRADINHO,0.8575,0.24375000000000002,455289.6,0.0,0.0,455289.6
ASA BRANCA,0.4317808219178082,0.2710958904109589,454806.05,0.0,0.0,454806.05
SAUIPE,2.2332,0.7044,451968.18,0.0,0.0,451968.18
AMERICA DOURADA,0.6987671232876712,0.2763013698630137,426629.1,0.0,0.0,426629.1
AMELIA RODRIGUES,1.1308,0.6388,423321.44,0.0,0.0,423321.44
TUCANO,1.0457534246575344,0.39095890410958906,421824.24,0.0,0.0,421824.24
TANHACU,0.8871232876712329,0.2734246575342466,413726.94,0.0,0.0,413726.94
PARAMIRIM,0.834931506849315,0.3790410958904109,410115.74,0.0,0.0,410115.74
SAO GONCALO DOS CAMPOS,0.9783561643835617,0.346027397260274,381140.55,0.0,0.0,381140.55
ABRANTES,0.6531999999999999,0.3024,374769.6,0.0,0.0,374769.6
FORMOSO,1.6677083333333333,0.6104166666666667,374271.21,0.0,0.0,374271.21
RIACHAO DO JACUIPE,0.7957534246575343,0.37383561643835617,369747.49,0.0,0.0,369747.49
BOM JESUS DA LAPA,0.5402739726027397,0.37424657534246575,368146.91,0.0,0.0,368146.91
CENTRO INDUSTRIAL TEIXEIRA DE FREITAS,0.53,0.2876,367659.46,0.0,0.0,367659.46
WAGNER,0.9845205479452055,0.506986301369863,359132.17,0.0,0.0,359132.17
BARRA GRANDE,0.856,0.318,356529.87,0.0,0.0,356529.87
SANTA BARBARA,0.9631506849315069,0.396027397260274,347647.95,0.0,0.0,347647.95
JOAO DOURADO,0.8152054794520548,0.3494520547945205,346615.97,0.0,0.0,346615.97
RIBEIRA DO POMBAL,0.6635616438356164,0.2519178082191781,329424.36,0.0,0.0,329424.36
CENTRO INDUSTRIAL DE FEIRA SANTANA,0.6923287671232876,0.3480821917808219,326822.66,0.0,0.0,326822.66
SAO MIGUEL,1.0585416666666667,0.5547916666666667,322357.19,0.0,0.0,322357.19
ANAGE,0.7726027397260273,0.25438356164383563,318774.72,0.0,0.0,318774.72
SAO ROQUE,1.3114583333333334,0.5014583333333333,318511.61,0.0,0.0,318511.61
AREMBEPE,0.7476,0.3256,312335.2,0.0,0.0,312335.2
BURACICA,2.36027397260274,0.6091780821917808,308773.25,0.0,0.0,308773.25
PONTO NOVO,0.9005479452054794,0.2821917808219178,308763.59,0.0,0.0,308763.59
ITANAGRA,5.009166666666666,0.9139583333333333,296642.7,0.0,0.0,296642.7
BARRA DO CHOCA,0.8412000000000001,0.2636,296053.94,0.0,0.0,296053.94
RIO FUNDO,2.858333333333333,1.0041666666666667,291423.95,0.0,0.0,291423.95
MODELO REDUZIDO - CHESF,0.3084931506849315,0.24205479452054796,286520.35,0.0,0.0,286520.35
MATARANDIBA,1.125890410958904,0.4754794520547945,280153.86,0.0,0.0,280153.86
JUAZEIRO DA BAHIA,0.3268,0.22440000000000002,279495.45,0.0,0.0,279495.45
MIGUEL CALMOM,0.8549315068493151,0.27246575342465756,277666.43,0.0,0.0,277666.43
PEDRA BRANCA,1.3567123287671234,0.29054794520547944,260848.2,0.0,0.0,260848.2
MACURURE,1.6375000000000002,0.455,247920.45,0.0,0.0,247920.45
BARRO VERMELHO,1.2891780821917809,0.4445205479452055,247200.59,0.0,0.0,247200.59
BARRA DA ESTIVA,0.7020000000000001,0.3096,245942.45,0.0,0.0,245942.45
MIROROS,0.8580821917808219,0.21767123287671233,237889.84,0.0,0.0,237889.84
IRECE ASA SUL,0.35547945205479453,0.20232876712328768,232010.52,0.0,0.0,232010.52
ITABERABA,0.4828767123287671,0.25904109589041097,227174.83,0.0,0.0,227174.83
JUAZEIRO IV,0.37,0.1672,208584.5,0.0,0.0,208584.5
"ITAMBE 34,5 kV",0.9444,0.41240000000000004,200924.28,0.0,0.0,200924.28
QUEIMADAS II,0.7108,0.22760000000000002,199747.83,0.0,0.0,199747.83
URANDI,1.4510416666666668,0.45770833333333333,199216.82,0.0,0.0,199216.82
SAO MIGUEL,0.6872,0.2336,189716.83,0.0,0.0,189716.83
IRAMAIA,1.3032,0.3556,186653.58,0.0,0.0,186653.58
SIMAO DIAS - ENERGIPE,0.96,0.4267123287671233,183887.63999999998,0.0,0.0,183887.63999999998
BONITO,1.3625,0.48854166666666665,183767.97,0.0,0.0,183767.97
MARAGOGIPE,1.7608,0.6352,183566.04,0.0,0.0,183566.04
SAO ROQUE,0.9004000000000001,0.262,175277.06,0.0,0.0,175277.06
CICERO DANTAS III,0.6023287671232876,0.24561643835616437,170526.65,0.0,0.0,170526.65
"ITAMBE 13,8 kV",0.8959999999999999,0.2812,169651.06,0.0,0.0,169651.06
CIPO,0.8168493150684932,0.29013698630136986,164568.65,0.0,0.0,164568.65
CAETITE,0.7279452054794521,0.29000000000000004,162896.19,0.0,0.0,162896.19
