DatGeracaoConjuntoDados;SigIndicador;DscIndicador
2026-03-05;ICom18;Perc. da rec. fat. 18° mês ant. não receb. no mês de ref. classe Comercial
2026-03-05;ICom21;Perc. da rec. fat. 21° mês ant. não receb. no mês de ref. classe Comercial
2026-03-05;ICom24;Perc. da rec. fat. 24° mês ant. não receb. no mês de ref. classe Comercial
2026-03-05;ICom3;Perc. da rec. fat. 3° mês ant. não receb. no mês de ref. classe Comercial
2026-03-05;ICom6;Perc. da rec. fat. 6° mês ant. não receb. no mês de ref. classe Comercial
2026-03-05;IComCrt;Quant. de unid. da classe Comercial susp. inadimplência no mês de ref.
2026-03-05;ICProp1;Perc. da rec. fat. 1° mês ant. não receb. no mês de ref. classe Consumo Próp.
2026-03-05;ICProp12;Perc. da rec. fat. 12° mês ant. não receb. no mês de ref. classe Consumo Próp.
2026-03-05;ICProp18;Perc. da rec. fat. 18° mês ant. não receb. no mês de ref. classe Consumo Próp.
2026-03-05;ICProp21;Perc. da rec. fat. 21° mês ant. não receb. no mês de ref. classe Consumo Próp.
2026-03-05;ICProp24;Perc. da rec. fat. 24° mês ant. não receb. no mês de ref. classe Consumo Próp.
2026-03-05;ICProp3;Perc. da rec. fat. 3° mês ant. não receb. no mês de ref. classe Consumo Próp.
2026-03-05;ICProp6;Perc. da rec. fat. 6° mês ant. não receb. no mês de ref. classe Consumo Próp.
2026-03-05;ICPropCrt;Quant. de unid. da classe Consumo Próp. susp. inadimplência no mês de ref.
2026-03-05;IInd1;Perc. da rec. fat. 1° mês ant. não receb. no mês de ref. classe Industrial
2026-03-05;IInd12;Perc. da rec. fat. 12° mês ant. não receb. no mês de ref. classe Industrial
2026-03-05;IInd18;Perc. da rec. fat. 18° mês ant. não receb. no mês de ref. classe Industrial
2026-03-05;IInd21;Perc. da rec. fat. 21° mês ant. não receb. no mês de ref. classe Industrial
2026-03-05;IInd24;Perc. da rec. fat. 24° mês ant. não receb. no mês de ref. classe Industrial
2026-03-05;IInd3;Perc. da rec. fat. 3° mês ant. não receb. no mês de ref. classe Industrial
2026-03-05;IInd6;Perc. da rec. fat. 6° mês ant. não receb. no mês de ref. classe Industrial
2026-03-05;IIndCrt;Quant. de unid. da classe Industrial susp. inadimplência no mês de ref.
2026-03-05;IIPub1;Perc. da rec. fat. 1° mês ant. não receb. no mês de ref. classe Iluminação Púb.
2026-03-05;IIPub12;Perc. da rec. fat. 12° mês ant. não receb. no mês de ref. classe Iluminação Púb.
2026-03-05;IIPub18;Perc. da rec. fat. 18° mês ant. não receb. no mês de ref. classe Iluminação Púb.
2026-03-05;IIPub21;Perc. da rec. fat. 21° mês ant. não receb. no mês de ref. classe Iluminação Púb.
2026-03-05;IIPub24;Perc. da rec. fat. 24° mês ant. não receb. no mês de ref. classe Iluminação Púb.
2026-03-05;IIPub3;Perc. da rec. fat. 3° mês ant. não receb. no mês de ref. classe Iluminação Púb.
2026-03-05;IIPub6;Perc. da rec. fat. 6° mês ant. não receb. no mês de ref. classe Iluminação Púb.
2026-03-05;IIPubCrt;Quant. de unid. da classe Iluminação Púb. susp. inadimplência no mês de ref.
2026-03-05;IPPub1;Perc. da rec. fat. 1° mês ant. não receb. no mês de ref. classe Poder Púb.
2026-03-05;IPPub12;Perc. da rec. fat. 12° mês ant. não receb. no mês de ref. classe Poder Púb.
2026-03-05;IPPub18;Perc. da rec. fat. 18° mês ant. não receb. no mês de ref. classe Poder Púb.
2026-03-05;IPPub21;Perc. da rec. fat. 21° mês ant. não receb. no mês de ref. classe Poder Púb.
2026-03-05;IPPub24;Perc. da rec. fat. 24° mês ant. não receb. no mês de ref. classe Poder Púb.
2026-03-05;IPPub3;Perc. da rec. fat. 3° mês ant. não receb. no mês de ref. classe Poder Púb.
2026-03-05;IPPub6;Perc. da rec. fat. 6° mês ant. não receb. no mês de ref. classe Poder Púb.
2026-03-05;IPPubCrt;Quant. de unid. da classe Poder Púb. susp. inadimplência no mês de ref.
2026-03-05;IResBR1;Perc. da rec. fat. 1° mês ant. não receb. no mês de ref. classe Resid. Baixa R.
